"var1","var2","relevancia","redundancia","MID","MIQ"
"Hospitais.com.151.a.500.leitos","Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes",0.246622801879422,0.789036236747738,-0.542413434868316,0.312562073062646
"Hospitais.com.151.a.500.leitos","Enfermeiros.por.100.mil.habitantes",0.256012409734792,0.825383524707627,-0.569371114972835,0.31017387925871
"Hospitais.com.151.a.500.leitos","Leitos.por.1000.habitantes",0.18946758119785,0.682440677730299,-0.492973096532449,0.277632309123179
"Hospitais.com.151.a.500.leitos","Leitos.de.UTI.Adulto.Coronariana.por.100.mil.habitantes",0.253992158733098,0.915402032413537,-0.661409873680439,0.277465146175637
"Hospitais.de.entidades.empresariais.com.51.a.150.leitos","Enfermeiros.por.100.mil.habitantes",0.221709339731427,0.800635117652795,-0.578925777921368,0.276916831204466
"Hospitais.com.151.a.500.leitos","Médicos.em.Medicina.Intensiva.disponíveis.ao.SUS.por.100.mil.habitantes",0.282342522886082,1.01972591558859,-0.737383392702511,0.276880795682349
"Enfermeiros.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.por.100.mil.habitantes",0.313770499162878,1.1416654009891,-0.827894901826217,0.274835778408489
"Enfermeiros.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.disponíveis.ao.SUS.por.100.mil.habitantes",0.301166848987706,1.09690443270205,-0.795737583714346,0.27456070010204
"Hospitais.com.151.a.500.leitos","Médicos.em.Medicina.Intensiva.por.100.mil.habitantes",0.294946173061254,1.08021129016314,-0.78526511710189,0.273044890149878
"Hospitais.de.entidades.empresariais.com.51.a.150.leitos","Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes",0.212319731876057,0.780258759375579,-0.567939027499522,0.272114512429147
"Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.disponíveis.ao.SUS.por.100.mil.habitantes",0.291777241132336,1.07529525676071,-0.783518015628373,0.271346162179963
"Hospitais.com.151.a.500.leitos","Médicos.disponíveis.ao.SUS.por.1000.habitantes",0.236007745314952,0.870558150200946,-0.634550404885994,0.271099346161398
"Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes","Médicos.em.Medicina.Intensiva.por.100.mil.habitantes",0.304380891307508,1.12714416737225,-0.822763276064743,0.270046104232719
"Enfermeiros.disponíveis.ao.SUS.por.100.mil.habitantes","Leitos.de.UTI.Adulto.Coronariana.por.100.mil.habitantes",0.263426876979352,0.97573205546185,-0.712305178482498,0.269978705224215
"Enfermeiros.por.100.mil.habitantes","Leitos.de.UTI.Adulto.Coronariana.por.100.mil.habitantes",0.272816484834722,1.01242484918092,-0.739608364346196,0.269468380843713
"Hospitais.com.151.a.500.leitos","Médicos.disponíveis.ao.SUS.por.100.mil.habitantes",0.207656038715824,0.771830074335978,-0.564174035620154,0.269043725582312
"Hospitais.com.151.a.500.leitos","Hospitais.de.entidades.sem.fins.lucrativos.com.até.30.leitos.que.atendem.ao.SUS.e.plano.de.saúde.particular",0.151516025698343,0.565070107788951,-0.413554082090608,0.268136685359638
"Hospitais.com.151.a.500.leitos","Mamógrafos.por.100.mil.habitantes",0.17817262840073,0.666265047583216,-0.488092419182486,0.267420044090601
"Hospitais.com.151.a.500.leitos","Equipamentos.de.ultrassonografia.por.100.mil.habitantes",0.179531146908993,0.672828629172532,-0.493297482263539,0.266830421781824
"Hospitais.com.151.a.500.leitos","Leitos.de.UTI.Adulto.Coronariana.disponíveis.ao.SUS.por.100.mil.habitantes",0.248665326443426,0.932518132227912,-0.683852805784485,0.26666004429247
"Enfermeiros.por.100.mil.habitantes","Leitos.de.UTI.Adulto.Coronariana.disponíveis.ao.SUS.por.100.mil.habitantes",0.267489652545051,1.02857274298503,-0.761083090439981,0.260059052088787
"Hospitais.com.151.a.500.leitos","Médicos.em.Radiologia.e.Diagnóstico.por.Imagem.disponíveis.ao.SUS.por.100.mil.habitantes",0.206980635452981,0.798109106455653,-0.591128471002672,0.259338771828037
"Hospitais.com.151.a.500.leitos","Hospitais.de.entidades.sem.fins.lucrativos.que.atendem.apenas.ao.SUS",0.153461988840104,0.592176286598363,-0.438714297758259,0.259149162695513
"Hospitais.com.31.a.50.leitos.que.atendem.somente.plano.de.saúde.particular","Enfermeiros.por.100.mil.habitantes",0.174577310276671,0.677124294203507,-0.502546983926836,0.25782166106154
"Enfermeiros.por.100.mil.habitantes","Leitos.por.1000.habitantes",0.208291907299475,0.810951731049701,-0.602659823750227,0.2568487116118
"Hospitais.com.151.a.500.leitos","Tomógrafos.computadorizados.por.100.mil.habitantes",0.174903186487808,0.682382300270509,-0.507479113782701,0.256312607197568
"Hospitais.com.151.a.500.leitos","Médicos.Neurologistas.disponíveis.ao.SUS.por.100.mil.habitantes",0.2222661984613,0.868346850794528,-0.646080652333228,0.255964765989453
